   ________________________________________________________________________________

                               Parametric study: press2
   ________________________________________________________________________________

              C10,            D1,             h,         VDISP,         FORCE,
      2.33333e+06,      1.25e-06,      0.000371,      0.000371,       398.807,
          2.5e+06,      1.25e-06,      0.000371,      0.000371,       415.464,
          1.5e+06,       1.5e-06,      0.000371,      0.000371,       281.791,
      1.66667e+06,       1.5e-06,      0.000371,      0.000371,       301.633,
      1.83333e+06,       1.5e-06,      0.000371,      0.000371,       320.382,
            2e+06,       1.5e-06,      0.000371,      0.000371,       338.172,
      2.16667e+06,       1.5e-06,      0.000371,      0.000371,       354.032,
      2.33333e+06,       1.5e-06,      0.000371,      0.000371,       369.051,
          2.5e+06,       1.5e-06,      0.000371,      0.000371,       383.337,
          1.5e+06,         5e-07,      0.000381,      0.000381,       376.722,
      1.66667e+06,         5e-07,      0.000381,      0.000381,       410.605,
      1.83333e+06,         5e-07,      0.000381,      0.000381,       443.567,
            2e+06,         5e-07,      0.000381,      0.000381,       475.701,
      2.16667e+06,         5e-07,      0.000381,      0.000381,       506.459,
      2.33333e+06,         5e-07,      0.000381,      0.000381,       536.672,
          2.5e+06,         5e-07,      0.000381,      0.000381,       566.223,
          1.5e+06,       7.5e-07,      0.000381,      0.000381,        347.77,
      1.66667e+06,       7.5e-07,      0.000381,      0.000381,       377.482,
      1.83333e+06,       7.5e-07,      0.000381,      0.000381,       406.266,
            2e+06,       7.5e-07,      0.000381,      0.000381,       434.236,
      2.16667e+06,       7.5e-07,      0.000381,      0.000381,       460.327,
      2.33333e+06,       7.5e-07,      0.000381,      0.000381,       485.567,
          2.5e+06,       7.5e-07,      0.000381,      0.000381,       510.075,
          1.5e+06,         1e-06,      0.000381,      0.000381,       325.677,
      1.66667e+06,         1e-06,      0.000381,      0.000381,       351.625,
      1.83333e+06,         1e-06,      0.000381,      0.000381,       376.489,
            2e+06,         1e-06,      0.000381,      0.000381,        399.69,
      2.16667e+06,         1e-06,      0.000381,      0.000381,       421.566,
      2.33333e+06,         1e-06,      0.000381,      0.000381,       442.541,
          2.5e+06,         1e-06,      0.000381,      0.000381,       462.714,
          1.5e+06,      1.25e-06,      0.000381,      0.000381,       306.045,
      1.66667e+06,      1.25e-06,      0.000381,      0.000381,       328.597,
      1.83333e+06,      1.25e-06,      0.000381,      0.000381,         349.9,
            2e+06,      1.25e-06,      0.000381,      0.000381,       370.171,
      2.16667e+06,      1.25e-06,      0.000381,      0.000381,        389.64,
      2.33333e+06,      1.25e-06,      0.000381,      0.000381,       408.185,
          2.5e+06,      1.25e-06,      0.000381,      0.000381,       425.239,
          1.5e+06,       1.5e-06,      0.000381,      0.000381,       288.106,
      1.66667e+06,       1.5e-06,      0.000381,      0.000381,       308.476,
      1.83333e+06,       1.5e-06,      0.000381,      0.000381,       327.842,
            2e+06,       1.5e-06,      0.000381,      0.000381,        346.13,
      2.16667e+06,       1.5e-06,      0.000381,      0.000381,       362.378,
      2.33333e+06,       1.5e-06,      0.000381,      0.000381,       377.785,
          2.5e+06,       1.5e-06,      0.000381,      0.000381,       392.445,
          1.5e+06,         5e-07,     0.0004345,     0.0004345,       418.691,
      1.66667e+06,         5e-07,     0.0004345,     0.0004345,       456.193,
      1.83333e+06,         5e-07,     0.0004345,     0.0004345,       492.698,
            2e+06,         5e-07,     0.0004345,     0.0004345,       528.314,
      2.16667e+06,         5e-07,     0.0004345,     0.0004345,       562.414,
      2.33333e+06,         5e-07,     0.0004345,     0.0004345,       595.915,
          2.5e+06,         5e-07,     0.0004345,     0.0004345,        628.67,
          1.5e+06,       7.5e-07,     0.0004345,     0.0004345,       386.169,
      1.66667e+06,       7.5e-07,     0.0004345,     0.0004345,       419.113,
      1.83333e+06,       7.5e-07,     0.0004345,     0.0004345,       451.057,
            2e+06,       7.5e-07,     0.0004345,     0.0004345,       482.124,
      2.16667e+06,       7.5e-07,     0.0004345,     0.0004345,       511.214,
      2.33333e+06,       7.5e-07,     0.0004345,     0.0004345,       539.424,
          2.5e+06,       7.5e-07,     0.0004345,     0.0004345,       566.855,
          1.5e+06,         1e-06,     0.0004345,     0.0004345,       361.593,
      1.66667e+06,         1e-06,     0.0004345,     0.0004345,       390.531,
      1.83333e+06,         1e-06,     0.0004345,     0.0004345,       418.346,
            2e+06,         1e-06,     0.0004345,     0.0004345,       444.454,
      2.16667e+06,         1e-06,     0.0004345,     0.0004345,       469.156,
      2.33333e+06,         1e-06,     0.0004345,     0.0004345,       492.909,
          2.5e+06,         1e-06,     0.0004345,     0.0004345,       515.816,
          1.5e+06,      1.25e-06,     0.0004345,     0.0004345,       340.113,
      1.66667e+06,      1.25e-06,     0.0004345,     0.0004345,       365.542,
      1.83333e+06,      1.25e-06,     0.0004345,     0.0004345,       389.643,
            2e+06,      1.25e-06,     0.0004345,     0.0004345,       412.653,
      2.16667e+06,      1.25e-06,     0.0004345,     0.0004345,       434.689,
      2.33333e+06,      1.25e-06,     0.0004345,     0.0004345,       455.854,
          2.5e+06,      1.25e-06,     0.0004345,     0.0004345,       475.386,
          1.5e+06,       1.5e-06,     0.0004345,     0.0004345,       320.763,
      1.66667e+06,       1.5e-06,     0.0004345,     0.0004345,       343.878,
      1.83333e+06,       1.5e-06,     0.0004345,     0.0004345,       365.823,
            2e+06,       1.5e-06,     0.0004345,     0.0004345,       386.718,
      2.16667e+06,       1.5e-06,     0.0004345,     0.0004345,       405.353,
      2.33333e+06,       1.5e-06,     0.0004345,     0.0004345,       423.085,
          2.5e+06,       1.5e-06,     0.0004345,     0.0004345,       440.084,
          1.5e+06,         5e-07,     0.0004427,     0.0004427,       425.126,
      1.66667e+06,         5e-07,     0.0004427,     0.0004427,       463.202,
      1.83333e+06,         5e-07,     0.0004427,     0.0004427,       500.249,
            2e+06,         5e-07,     0.0004427,     0.0004427,       536.374,
      2.16667e+06,         5e-07,     0.0004427,     0.0004427,       570.951,
      2.33333e+06,         5e-07,     0.0004427,     0.0004427,       604.938,
          2.5e+06,         5e-07,     0.0004427,     0.0004427,       638.169,
          1.5e+06,       7.5e-07,     0.0004427,     0.0004427,       392.033,
